"sales_month","total_sales","total_orders","percentage_of_year"
"2017-01-01","389143.313000002","69","8.5"
"2017-02-01","123223.080799999","53","2.7"
"2017-03-01","226050.690199999","118","4.9"
"2017-04-01","196203.297999999","116","4.3"
"2017-05-01","275861.799599999","118","6.0"
"2017-06-01","389003.165500004","133","8.5"
"2017-07-01","210530.039999998","111","4.6"
"2017-08-01","510736.418000003","111","11.2"
"2017-09-01","464061.803999999","226","10.1"
"2017-10-01","536217.198999998","147","11.7"
"2017-11-01","671992.864199999","261","14.7"
"2017-12-01","580849.990999995","224","12.7"
