"state","total_quantity"
"California","3889"
"New York","2142"
"Texas","1832"
"Illinois","1103"
"Pennsylvania","1021"
"Washington","944"
"Ohio","911"
"Florida","734"
"North Carolina","537"
"Virginia","473"
"Michigan","441"
"Arizona","436"
"Tennessee","328"
"Georgia","312"
"Indiana","299"
"Colorado","298"
"Wisconsin","227"
"Massachusetts","223"
"Oregon","218"
"New Jersey","216"
"Kentucky","206"
"Maryland","170"
"Minnesota","169"
"Delaware","164"
"Connecticut","158"
"Alabama","143"
"Oklahoma","142"
"Mississippi","127"
"Arkansas","120"
"Missouri","111"
"Utah","107"
"Nevada","98"
"New Mexico","94"
"Rhode Island","94"
"Louisiana","82"
"South Carolina","80"
"Nebraska","72"
"New Hampshire","72"
"Iowa","59"
"Kansas","45"
"Montana","31"
"Idaho","30"
"Vermont","26"
"District of Columbia","20"
"South Dakota","17"
"West Virginia","8"
"Maine","7"
"North Dakota","4"
"Wyoming","4"
