order_id,Sales,Quantity,Discount,Profit,customer_id,order_date,ship_mode,ship_date
CA-2016-152156,261.96,2,0.0,41.9136,CG-12520,2016-11-08,Second Class,2016-11-11
CA-2016-138688,14.62,2,0.0,6.8714,DV-13045,2016-06-12,Second Class,2016-06-16
US-2015-108966,957.5775,5,0.45,-383.031,SO-20335,2015-10-11,Standard Class,2015-10-18
CA-2014-115812,48.86,7,0.0,14.1694,BH-11710,2014-06-09,Standard Class,2014-06-14
CA-2017-114412,15.552,3,0.2,5.4432,AA-10480,2017-04-15,Standard Class,2017-04-20
CA-2016-161389,407.976,3,0.2,132.5922,IM-15070,2016-12-05,Standard Class,2016-12-10
US-2015-118983,68.81,5,0.8,-123.858,HP-14815,2015-11-22,Standard Class,2015-11-26
CA-2014-105893,665.88,6,0.0,13.3176,PK-19075,2014-11-11,Standard Class,2014-11-18
CA-2014-167164,55.5,2,0.0,9.99,AG-10270,2014-05-13,Second Class,2014-05-15
CA-2014-143336,8.56,2,0.0,2.4824,ZD-21925,2014-08-27,Second Class,2014-09-01
CA-2016-137330,19.46,7,0.0,5.0596,KB-16585,2016-12-09,Standard Class,2016-12-13
US-2017-156909,71.372,2,0.3,-1.0196,SF-20065,2017-07-16,Second Class,2017-07-18
CA-2015-106320,1044.63,3,0.0,240.2649,EB-13870,2015-09-25,Standard Class,2015-09-30
CA-2016-121755,11.648,2,0.2,4.2224,EH-13945,2016-01-16,Second Class,2016-01-20
US-2015-150630,3083.43,7,0.5,-1665.0522,TB-21520,2015-09-17,Standard Class,2015-09-21
CA-2017-107727,29.472,3,0.2,9.9468,MA-17560,2017-10-19,Second Class,2017-10-23
CA-2016-117590,1097.544,7,0.2,123.4737,GH-14485,2016-12-08,First Class,2016-12-10
CA-2015-117415,113.328,9,0.2,35.415,SN-20710,2015-12-27,Standard Class,2015-12-31
CA-2017-120999,147.168,4,0.2,16.5564,LC-16930,2017-09-10,Standard Class,2017-09-15
CA-2016-101343,77.88,2,0.0,3.894,RA-19885,2016-07-17,Standard Class,2016-07-22
CA-2017-139619,95.616,2,0.2,9.5616,ES-14080,2017-09-19,Standard Class,2017-09-23
CA-2016-118255,45.98,2,0.0,19.7714,ON-18715,2016-03-11,First Class,2016-03-13
CA-2014-146703,211.96,4,0.0,8.4784,PO-18865,2014-10-20,Second Class,2014-10-25
CA-2016-169194,45.0,3,0.0,4.95,LH-16900,2016-06-20,Standard Class,2016-06-25
CA-2015-115742,38.22,6,0.0,17.9634,DP-13000,2015-04-18,Standard Class,2015-04-22
CA-2016-105816,15.26,7,0.0,6.2566,JM-15265,2016-12-11,Standard Class,2016-12-17
CA-2016-111682,208.56,6,0.0,52.14,TB-21055,2016-06-17,First Class,2016-06-18
CA-2015-135545,13.98,2,0.0,6.1512,KM-16720,2015-11-24,Standard Class,2015-11-30
US-2015-164175,213.115,5,0.3,-15.2225,PS-18970,2015-04-30,Standard Class,2015-05-05
CA-2014-106376,1113.024,8,0.2,111.3024,BS-11590,2014-12-05,Standard Class,2014-12-10
CA-2016-119823,75.88,2,0.0,35.6636,KD-16270,2016-06-04,First Class,2016-06-06
CA-2016-106075,4.616,1,0.2,1.731,HM-14980,2016-09-18,Standard Class,2016-09-23
CA-2017-114440,19.05,3,0.0,8.763,TB-21520,2017-09-14,Second Class,2017-09-17
US-2015-134026,831.936,8,0.2,-114.3912,JE-15745,2015-04-26,Standard Class,2015-05-02
