product_id,category_id
FUR-BO-10001798,1
FUR-BO-10001798,2
FUR-BO-10001798,4
FUR-BO-10001798,6
FUR-CH-10000454,1
FUR-CH-10000454,2
FUR-CH-10000454,4
FUR-CH-10000454,6
OFF-LA-10000240,3
OFF-LA-10000240,5
OFF-LA-10000240,7
OFF-LA-10000240,9
OFF-LA-10000240,10
OFF-LA-10000240,11
OFF-LA-10000240,13
OFF-LA-10000240,14
OFF-LA-10000240,15
FUR-TA-10000577,1
FUR-TA-10000577,2
FUR-TA-10000577,4
FUR-TA-10000577,6
OFF-ST-10000760,3
OFF-ST-10000760,5
OFF-ST-10000760,7
OFF-ST-10000760,9
OFF-ST-10000760,10
OFF-ST-10000760,11
OFF-ST-10000760,13
OFF-ST-10000760,14
OFF-ST-10000760,15
FUR-FU-10001487,1
FUR-FU-10001487,2
FUR-FU-10001487,4
FUR-FU-10001487,6
OFF-AR-10002833,3
OFF-AR-10002833,5
OFF-AR-10002833,7
OFF-AR-10002833,9
OFF-AR-10002833,10
OFF-AR-10002833,11
OFF-AR-10002833,13
OFF-AR-10002833,14
OFF-AR-10002833,15
TEC-PH-10002275,8
TEC-PH-10002275,12
TEC-PH-10002275,16
TEC-PH-10002275,17
OFF-BI-10003910,3
OFF-BI-10003910,5
OFF-BI-10003910,7
OFF-BI-10003910,9
OFF-BI-10003910,10
OFF-BI-10003910,11
OFF-BI-10003910,13
OFF-BI-10003910,14
OFF-BI-10003910,15
OFF-AP-10002892,3
OFF-AP-10002892,5
OFF-AP-10002892,7
OFF-AP-10002892,9
OFF-AP-10002892,10
OFF-AP-10002892,11
OFF-AP-10002892,13
OFF-AP-10002892,14
OFF-AP-10002892,15
FUR-TA-10001539,1
FUR-TA-10001539,2
FUR-TA-10001539,4
FUR-TA-10001539,6
TEC-PH-10002033,8
TEC-PH-10002033,12
TEC-PH-10002033,16
TEC-PH-10002033,17
OFF-PA-10002365,3
OFF-PA-10002365,5
OFF-PA-10002365,7
OFF-PA-10002365,9
OFF-PA-10002365,10
OFF-PA-10002365,11
OFF-PA-10002365,13
OFF-PA-10002365,14
OFF-PA-10002365,15
OFF-BI-10003656,3
OFF-BI-10003656,5
OFF-BI-10003656,7
OFF-BI-10003656,9
OFF-BI-10003656,10
OFF-BI-10003656,11
OFF-BI-10003656,13
OFF-BI-10003656,14
OFF-BI-10003656,15
OFF-AP-10002311,3
OFF-AP-10002311,5
OFF-AP-10002311,7
OFF-AP-10002311,9
OFF-AP-10002311,10
OFF-AP-10002311,11
OFF-AP-10002311,13
OFF-AP-10002311,14
OFF-AP-10002311,15
OFF-BI-10000756,3
OFF-BI-10000756,5
OFF-BI-10000756,7
OFF-BI-10000756,9
OFF-BI-10000756,10
OFF-BI-10000756,11
OFF-BI-10000756,13
OFF-BI-10000756,14
OFF-BI-10000756,15
OFF-ST-10004186,3
OFF-ST-10004186,5
OFF-ST-10004186,7
OFF-ST-10004186,9
OFF-ST-10004186,10
OFF-ST-10004186,11
OFF-ST-10004186,13
OFF-ST-10004186,14
OFF-ST-10004186,15
OFF-ST-10000107,3
OFF-ST-10000107,5
OFF-ST-10000107,7
OFF-ST-10000107,9
OFF-ST-10000107,10
OFF-ST-10000107,11
OFF-ST-10000107,13
OFF-ST-10000107,14
OFF-ST-10000107,15
OFF-AR-10003056,3
OFF-AR-10003056,5
OFF-AR-10003056,7
OFF-AR-10003056,9
OFF-AR-10003056,10
OFF-AR-10003056,11
OFF-AR-10003056,13
OFF-AR-10003056,14
OFF-AR-10003056,15
TEC-PH-10001949,8
TEC-PH-10001949,12
TEC-PH-10001949,16
TEC-PH-10001949,17
OFF-BI-10002215,3
OFF-BI-10002215,5
OFF-BI-10002215,7
OFF-BI-10002215,9
OFF-BI-10002215,10
OFF-BI-10002215,11
OFF-BI-10002215,13
OFF-BI-10002215,14
OFF-BI-10002215,15
OFF-AR-10000246,3
OFF-AR-10000246,5
OFF-AR-10000246,7
OFF-AR-10000246,9
OFF-AR-10000246,10
OFF-AR-10000246,11
OFF-AR-10000246,13
OFF-AR-10000246,14
OFF-AR-10000246,15
OFF-AP-10001492,3
OFF-AP-10001492,5
OFF-AP-10001492,7
OFF-AP-10001492,9
OFF-AP-10001492,10
OFF-AP-10001492,11
OFF-AP-10001492,13
OFF-AP-10001492,14
OFF-AP-10001492,15
FUR-CH-10002774,1
FUR-CH-10002774,2
FUR-CH-10002774,4
FUR-CH-10002774,6
OFF-BI-10001634,3
OFF-BI-10001634,5
OFF-BI-10001634,7
OFF-BI-10001634,9
OFF-BI-10001634,10
OFF-BI-10001634,11
OFF-BI-10001634,13
OFF-BI-10001634,14
OFF-BI-10001634,15
TEC-AC-10003027,8
TEC-AC-10003027,12
TEC-AC-10003027,16
TEC-AC-10003027,17
FUR-BO-10004834,1
FUR-BO-10004834,2
FUR-BO-10004834,4
FUR-BO-10004834,6
OFF-BI-10000474,3
OFF-BI-10000474,5
OFF-BI-10000474,7
OFF-BI-10000474,9
OFF-BI-10000474,10
OFF-BI-10000474,11
OFF-BI-10000474,13
OFF-BI-10000474,14
OFF-BI-10000474,15
FUR-FU-10004848,1
FUR-FU-10004848,2
FUR-FU-10004848,4
FUR-FU-10004848,6
OFF-EN-10001509,3
OFF-EN-10001509,5
OFF-EN-10001509,7
OFF-EN-10001509,9
